product_name_en	product_name_da	product_name_de	product_name_fr	product_name_it	product_name_nl	product_name_pl	product_name_fi	product_name_es	product_name_sv	product_url_en	product_url_da	product_url_de	product_url_fr	product_url_it	product_url_nl	product_url_pl	product_url_fi	product_url_es	product_url_sv	style_en	style_da	style_de	style_fr	style_it	style_nl	style_pl	style_fi	style_es	style_sv	category	environment_image_1	environment_image_2	environment_image_3
Canvas print - Circle composition 3	Lærred - Circle composition 3	Leinwandbild - Circle composition 3	Toile - Circle composition 3	Stampe su tela - Circle composition 3	Canvas schilderi - Circle composition 3	Obraz na płótnie - Circle composition 3	Canvas taulu - Circle composition 3	Lienzo - Circle composition 3	Canvastavla Circle composition 3 - Tavla	https://wamaya.local/en/product/canvas-print-circle-composition-3/	https://wamaya.local/da/product/laerred-circle-composition-3/	https://wamaya.local/de/product/leinwandbild-circle-composition-3/	https://wamaya.local/fr/product/toile-circle-composition-3/	https://wamaya.local/it/product/stampe-su-tela-circle-composition-3/	https://wamaya.local/nl/product/canvas-schilderi-circle-composition-3/	https://wamaya.local/pl/product/obraz-na-plotnie-circle-composition-3/	https://wamaya.local/fi/product/canvas-taulu-circle-composition-3/	https://wamaya.local/es/product/lienzo-circle-composition-3/	https://wamaya.local/product/canvastavla-circle-composition-3-tavla/	Abstract	Abstrakt	Abstrakt	Abstrait	Abstract	Abstract	Abstract	Abstrakti	Abstracto	Abstrakt	Abstrakt	https://pictufy.com/api/interiors.php?p=2955126&i=1079	https://pictufy.com/api/interiors.php?p=2955126&i=94	
Canvas print - Vintage Flowers No.6	Lærred - Vintage Flowers No.6	Leinwandbild - Vintage Flowers No.6	Toile - Vintage Flowers No.6	Stampe su tela - Vintage Flowers No.6	Canvas schilderi - Vintage Flowers No.6	Obraz na płótnie - Vintage Flowers No.6	Canvas taulu - Vintage Flowers No.6	Lienzo - Vintage Flowers No.6	Canvastavla Vintage Flowers No.6 - Tavla	https://wamaya.local/en/product/canvas-print-vintage-flowers-no-6/	https://wamaya.local/da/product/laerred-vintage-flowers-no-6/	https://wamaya.local/de/product/leinwandbild-vintage-flowers-no-6/	https://wamaya.local/fr/product/toile-vintage-flowers-no-6/	https://wamaya.local/it/product/stampe-su-tela-vintage-flowers-no-6/	https://wamaya.local/nl/product/canvas-schilderi-vintage-flowers-no-6/	https://wamaya.local/pl/product/obraz-na-plotnie-vintage-flowers-no-6/	https://wamaya.local/fi/product/canvas-taulu-vintage-flowers-no-6/	https://wamaya.local/es/product/lienzo-vintage-flowers-no-6/	https://wamaya.local/product/canvastavla-vintage-flowers-no-6-tavla/	Minimalist	Minimalistisk	Minimalistisch	Minimaliste	Minimalist	Minimalist	Minimalist	Minimalistinen	Minimalista	Minimalistisk	Blommor	https://pictufy.com/api/interiors.php?p=2986379&i=1079	https://pictufy.com/api/interiors.php?p=2986379&i=94	
Canvas print - Yellow Flow	Lærred - Yellow Flow	Leinwandbild - Yellow Flow	Toile - Yellow Flow	Stampe su tela - Yellow Flow	Canvas schilderi - Yellow Flow	Obraz na płótnie - Yellow Flow	Canvas taulu - Yellow Flow	Lienzo - Yellow Flow	Canvastavla Yellow Flow - Tavla	https://wamaya.local/en/product/canvas-print-yellow-flow/	https://wamaya.local/da/product/laerred-yellow-flow/	https://wamaya.local/de/product/leinwandbild-yellow-flow/	https://wamaya.local/fr/product/toile-yellow-flow/	https://wamaya.local/it/product/stampe-su-tela-yellow-flow/	https://wamaya.local/nl/product/canvas-schilderi-yellow-flow/	https://wamaya.local/pl/product/obraz-na-plotnie-yellow-flow/	https://wamaya.local/fi/product/canvas-taulu-yellow-flow/	https://wamaya.local/es/product/lienzo-yellow-flow/	https://wamaya.local/product/canvastavla-yellow-flow-tavla/	Street Art	Street Art	Street Art	Street Art	Street Art	Street Art	Street Art	Street Art	Street Art	Street Art	Fotokonst	https://pictufy.com/api/interiors.php?p=31964&i=1521	https://pictufy.com/api/interiors.php?p=31964&i=999	
Canvas print - Freeform Geometry	Lærred - Freeform Geometry	Leinwandbild - Freeform Geometry	Toile - Freeform Geometry	Stampe su tela - Freeform Geometry	Canvas schilderi - Freeform Geometry	Obraz na płótnie - Freeform Geometry	Canvas taulu - Freeform Geometry	Lienzo - Freeform Geometry	Canvastavla Freeform Geometry - Tavla	https://wamaya.local/en/product/canvas-print-freeform-geometry/	https://wamaya.local/da/product/laerred-freeform-geometry/	https://wamaya.local/de/product/leinwandbild-freeform-geometry/	https://wamaya.local/fr/product/toile-freeform-geometry/	https://wamaya.local/it/product/stampe-su-tela-freeform-geometry/	https://wamaya.local/nl/product/canvas-schilderi-freeform-geometry/	https://wamaya.local/pl/product/obraz-na-plotnie-freeform-geometry/	https://wamaya.local/fi/product/canvas-taulu-freeform-geometry/	https://wamaya.local/es/product/lienzo-freeform-geometry/	https://wamaya.local/product/canvastavla-freeform-geometry-tavla/	Abstract	Abstrakt	Abstrakt	Abstrait	Abstract	Abstract	Abstract	Abstrakti	Abstracto	Abstrakt	Beige	https://pictufy.com/api/interiors.php?p=2985809&i=1079	https://pictufy.com/api/interiors.php?p=2985809&i=94	
Canvas print - Morning blues	Lærred - Morning blues	Leinwandbild - Morning blues	Toile - Morning blues	Stampe su tela - Morning blues	Canvas schilderi - Morning blues	Obraz na płótnie - Morning blues	Canvas taulu - Morning blues	Lienzo - Morning blues	Canvastavla Morning blues - Tavla	https://wamaya.local/en/product/canvas-print-morning-blues/	https://wamaya.local/da/product/laerred-morning-blues/	https://wamaya.local/de/product/leinwandbild-morning-blues/	https://wamaya.local/fr/product/toile-morning-blues/	https://wamaya.local/it/product/stampe-su-tela-morning-blues/	https://wamaya.local/nl/product/canvas-schilderi-morning-blues/	https://wamaya.local/pl/product/obraz-na-plotnie-morning-blues/	https://wamaya.local/fi/product/canvas-taulu-morning-blues/	https://wamaya.local/es/product/lienzo-morning-blues/	https://wamaya.local/product/canvastavla-morning-blues-tavla/	Japandi	Japandi	Japandi	Japandi	Japandi	Japandi	Japandi	Japandi	Japandi	Japandi	Berg	https://pictufy.com/api/interiors.php?p=1030235&i=1521	https://pictufy.com/api/interiors.php?p=1030235&i=999	
Canvas print - Awakening III	Lærred - Awakening III	Leinwandbild - Awakening III	Toile - Awakening III	Stampe su tela - Awakening III	Canvas schilderi - Awakening III	Obraz na płótnie - Awakening III	Canvas taulu - Awakening III	Lienzo - Awakening III	Canvastavla Awakening III - Tavla	https://wamaya.local/en/product/canvas-print-awakening-iii/	https://wamaya.local/da/product/laerred-awakening-iii/	https://wamaya.local/de/product/leinwandbild-awakening-iii/	https://wamaya.local/fr/product/toile-awakening-iii/	https://wamaya.local/it/product/stampe-su-tela-awakening-iii/	https://wamaya.local/nl/product/canvas-schilderi-awakening-iii/	https://wamaya.local/pl/product/obraz-na-plotnie-awakening-iii/	https://wamaya.local/fi/product/canvas-taulu-awakening-iii/	https://wamaya.local/es/product/lienzo-awakening-iii/	https://wamaya.local/product/canvastavla-awakening-iii-tavla/	Vintage	Vintage	Vintage	Vintage	Vintage	Vintage	Vintage	Vintage	Vintage	Vintage	Stående tavlor	https://pictufy.com/api/interiors.php?p=2761705&i=1079	https://pictufy.com/api/interiors.php?p=2761705&i=94	
Canvas print - Beach Surf	Lærred - Beach Surf	Leinwandbild - Beach Surf	Toile - Beach Surf	Stampe su tela - Beach Surf	Canvas schilderi - Beach Surf	Obraz na płótnie - Beach Surf	Canvas taulu - Beach Surf		Canvastavla Beach Surf - Tavla	https://wamaya.local/en/product/canvas-print-beach-surf/	https://wamaya.local/da/product/laerred-beach-surf/	https://wamaya.local/de/product/leinwandbild-beach-surf/	https://wamaya.local/fr/product/toile-beach-surf/	https://wamaya.local/it/product/stampe-su-tela-beach-surf/	https://wamaya.local/nl/product/canvas-schilderi-beach-surf/	https://wamaya.local/pl/product/obraz-na-plotnie-beach-surf/	https://wamaya.local/fi/product/canvas-taulu-beach-surf/		https://wamaya.local/product/canvastavla-beach-surf-tavla/	Vintage	Vintage	Vintage	Vintage	Vintage	Vintage	Vintage	Vintage	Vintage	Vintage	Klassiskt	https://pictufy.com/api/interiors.php?p=2262131&i=1079	https://pictufy.com/api/interiors.php?p=2262131&i=94	
Canvas print - Snow is falling…	Lærred - Snow is falling…	Leinwandbild - Snow is falling…	Toile - Snow is falling…	Stampe su tela - Snow is falling…	Canvas schilderi - Snow is falling…	Obraz na płótnie - Snow is falling…	Canvas taulu - Snow is falling…	Lienzo - Snow is falling…	Canvastavla Snow is falling… - Tavla	https://wamaya.local/en/product/canvas-print-snow-is-falling/	https://wamaya.local/da/product/laerred-snow-is-falling/	https://wamaya.local/de/product/leinwandbild-snow-is-falling/	https://wamaya.local/fr/product/toile-snow-is-falling/	https://wamaya.local/it/product/stampe-su-tela-snow-is-falling/	https://wamaya.local/nl/product/canvas-schilderi-snow-is-falling/	https://wamaya.local/pl/product/obraz-na-plotnie-snow-is-falling/	https://wamaya.local/fi/product/canvas-taulu-snow-is-falling/	https://wamaya.local/es/product/lienzo-snow-is-falling/	https://wamaya.local/product/canvastavla-snow-is-falling-tavla/	Japandi	Japandi	Japandi	Japandi	Japandi	Japandi	Japandi	Japandi	Japandi	Japandi	Djur	https://pictufy.com/api/interiors.php?p=1650104&i=1521	https://pictufy.com/api/interiors.php?p=1650104&i=999	
Canvas print - Neon Night	Lærred - Neon Night	Leinwandbild - Neon Night	Toile - Neon Night	Stampe su tela - Neon Night	Canvas schilderi - Neon Night	Obraz na płótnie - Neon Night	Canvas taulu - Neon Night	Lienzo - Neon Night	Canvastavla Neon Night - Tavla	https://wamaya.local/en/product/canvas-print-neon-night/	https://wamaya.local/da/product/laerred-neon-night/	https://wamaya.local/de/product/leinwandbild-neon-night/	https://wamaya.local/fr/product/toile-neon-night/	https://wamaya.local/it/product/stampe-su-tela-neon-night/	https://wamaya.local/nl/product/canvas-schilderi-neon-night/	https://wamaya.local/pl/product/obraz-na-plotnie-neon-night/	https://wamaya.local/fi/product/canvas-taulu-neon-night/	https://wamaya.local/es/product/lienzo-neon-night/	https://wamaya.local/product/canvastavla-neon-night-tavla/	Street Art	Street Art	Street Art	Street Art	Street Art	Street Art	Street Art	Street Art	Street Art	Street Art	Fåglar	https://pictufy.com/api/interiors.php?p=2506015&i=1079	https://pictufy.com/api/interiors.php?p=2506015&i=94	
Canvas print - Fishes In Geometrics Nº4	Lærred - Fishes In Geometrics Nº4	Leinwandbild - Fishes In Geometrics Nº4	Toile - Fishes In Geometrics Nº4	Stampe su tela - Fishes In Geometrics Nº4	Canvas schilderi - Fishes In Geometrics Nº4	Obraz na płótnie - Fishes In Geometrics Nº4	Canvas taulu - Fishes In Geometrics Nº4	Lienzo - Fishes In Geometrics Nº4	Canvastavla Fishes In Geometrics Nº4 - Tavla	https://wamaya.local/en/product/canvas-print-fishes-in-geometrics-no4/	https://wamaya.local/da/product/laerred-fishes-in-geometrics-no4/	https://wamaya.local/de/product/leinwandbild-fishes-in-geometrics-no4/	https://wamaya.local/fr/product/toile-fishes-in-geometrics-no4/	https://wamaya.local/it/product/stampe-su-tela-fishes-in-geometrics-no4/	https://wamaya.local/nl/product/canvas-schilderi-fishes-in-geometrics-no4/	https://wamaya.local/pl/product/obraz-na-plotnie-fishes-in-geometrics-no4/	https://wamaya.local/fi/product/canvas-taulu-fishes-in-geometrics-no4/	https://wamaya.local/es/product/lienzo-fishes-in-geometrics-no4/	https://wamaya.local/product/canvastavla-fishes-in-geometrics-no4-tavla/	Abstract	Abstrakt	Abstrakt	Abstrait	Abstract	Abstract	Abstract	Abstrakti	Abstracto	Abstrakt	Fiskar	https://pictufy.com/api/interiors.php?p=2489662&i=1079	https://pictufy.com/api/interiors.php?p=2489662&i=94	
