Produktnamn	BildURL1	BildURL2	BildURL3	ProduktURL
Poster Balance in Motion - Affisch	https://pictufy.com/api/interiors.php?p=2548644&i=125	https://pictufy.com/api/interiors.php?p=2548644&i=203	https://pictufy.com/api/interiors.php?p=2548644&i=206	https://wamaya.local/product/poster-balance-in-motion-affisch/
Poster Graceful Dive - Affisch	https://pictufy.com/api/interiors.php?p=2548298&i=125	https://pictufy.com/api/interiors.php?p=2548298&i=203	https://pictufy.com/api/interiors.php?p=2548298&i=206	https://wamaya.local/product/poster-graceful-dive-affisch/
Poster Retro Lounge Vibes - Affisch	https://pictufy.com/api/interiors.php?p=2548674&i=125	https://pictufy.com/api/interiors.php?p=2548674&i=203	https://pictufy.com/api/interiors.php?p=2548674&i=206	https://wamaya.local/product/poster-retro-lounge-vibes-affisch/
Poster Celestial Harmony - Affisch	https://pictufy.com/api/interiors.php?p=2548662&i=125	https://pictufy.com/api/interiors.php?p=2548662&i=203	https://pictufy.com/api/interiors.php?p=2548662&i=206	https://wamaya.local/product/poster-celestial-harmony-affisch-2/
Poster Desert Dreamscape - Affisch	https://pictufy.com/api/interiors.php?p=2548821&i=125	https://pictufy.com/api/interiors.php?p=2548821&i=203	https://pictufy.com/api/interiors.php?p=2548821&i=206	https://wamaya.local/product/poster-desert-dreamscape-affisch/
Poster Ethereal Reflection - Affisch	https://pictufy.com/api/interiors.php?p=2984505&i=125	https://pictufy.com/api/interiors.php?p=2984505&i=203	https://pictufy.com/api/interiors.php?p=2984505&i=206	https://wamaya.local/product/poster-ethereal-reflection-affisch/
Poster Celestial Harmony - Affisch	https://pictufy.com/api/interiors.php?p=2984506&i=125	https://pictufy.com/api/interiors.php?p=2984506&i=203	https://pictufy.com/api/interiors.php?p=2984506&i=206	https://wamaya.local/product/poster-celestial-harmony-affisch/
Poster Soulful Serenity - Affisch	https://pictufy.com/api/interiors.php?p=2984507&i=125	https://pictufy.com/api/interiors.php?p=2984507&i=203	https://pictufy.com/api/interiors.php?p=2984507&i=206	https://wamaya.local/product/poster-soulful-serenity-affisch/
Poster Energized Tranquility - Affisch	https://pictufy.com/api/interiors.php?p=2984510&i=125	https://pictufy.com/api/interiors.php?p=2984510&i=203	https://pictufy.com/api/interiors.php?p=2984510&i=206	https://wamaya.local/product/poster-energized-tranquility-affisch/
Poster Celestial Dreams - Affisch	https://pictufy.com/api/interiors.php?p=2984511&i=125	https://pictufy.com/api/interiors.php?p=2984511&i=203	https://pictufy.com/api/interiors.php?p=2984511&i=206	https://wamaya.local/product/poster-celestial-dreams-affisch/
